,Date,Open,High,Low,Close,Volume,Market Cap
89,"Dec 01, 2017",15.95,17.2,15.14,16.9,56774800,675011000
90,"Nov 30, 2017",16.55,17.5,14.14,16.01,54218600,700241000
91,"Nov 29, 2017",19.53,19.88,16.22,16.3,59061900,826277000
92,"Nov 28, 2017",19.88,20.45,19.21,19.55,66225200,840954000
93,"Nov 27, 2017",20.56,21.23,19.28,19.89,63766200,869870000
94,"Nov 26, 2017",19.08,21.0,18.78,20.58,55829600,806856000
95,"Nov 25, 2017",18.59,19.75,18.44,19.06,39914200,786400000
96,"Nov 24, 2017",15.97,19.85,15.92,18.64,71235900,675411000
97,"Nov 23, 2017",16.62,17.31,15.89,16.09,47993300,702920000
98,"Nov 22, 2017",17.64,17.79,15.59,16.75,29309100,745877000
99,"Nov 21, 2017",18.24,18.87,17.22,17.56,29483600,771028000
100,"Nov 20, 2017",19.21,19.76,17.92,18.28,27072500,812022000
101,"Nov 19, 2017",20.45,20.85,18.67,19.22,27871700,864528000
102,"Nov 18, 2017",21.2,22.78,19.49,20.78,40753600,895856000
103,"Nov 17, 2017",18.74,21.76,16.79,21.2,45202200,791947000
104,"Nov 16, 2017",20.07,25.43,18.8,18.8,52090800,847969000
105,"Nov 15, 2017",15.2,19.95,15.2,19.85,31405200,642276000
106,"Nov 14, 2017",15.92,15.96,14.87,15.22,13310000,672729000
107,"Nov 13, 2017",14.85,15.96,13.88,15.85,20064300,627143000
108,"Nov 12, 2017",10.43,15.51,9.84,14.5,35274400,440679000
109,"Nov 11, 2017",10.42,10.74,10.1,10.44,12939000,440276000
110,"Nov 10, 2017",11.38,11.63,10.04,10.42,14322000,480761000
111,"Nov 09, 2017",10.74,11.62,10.22,11.45,15279400,453613000
112,"Nov 08, 2017",9.66,10.78,9.57,10.63,16181800,407808000
113,"Nov 07, 2017",9.47,9.7,9.39,9.67,12788100,399780000
114,"Nov 06, 2017",9.86,9.86,9.41,9.49,12450500,331409000
115,"Nov 05, 2017",9.76,10.04,9.5,9.84,12602900,327885000
116,"Nov 04, 2017",9.4,9.83,9.28,9.74,14889300,1936090
117,"Nov 03, 2017",9.69,9.96,9.34,9.41,19221800,327111000
118,"Nov 02, 2017",10.24,10.24,9.52,9.7,25565200,345821000
119,"Nov 01, 2017",10.71,10.77,10.0,10.15,22822300,361790000
120,"Oct 31, 2017",9.86,11.03,9.67,10.76,22692000,332876000
121,"Oct 30, 2017",9.59,9.88,9.48,9.83,17844100,323690000
122,"Oct 29, 2017",9.27,9.69,9.14,9.65,19171000,313084000
123,"Oct 28, 2017",9.43,9.55,9.1,9.31,14990100,318369000
124,"Oct 27, 2017",9.79,9.91,9.4,9.43,9836020,330611000
125,"Oct 26, 2017",10.22,10.32,9.74,9.78,12353300,344953000
126,"Oct 25, 2017",10.03,10.21,9.74,10.21,16453300,338810000
127,"Oct 24, 2017",9.98,10.42,9.77,10.07,15250900,337046000
128,"Oct 23, 2017",10.45,10.49,9.76,9.97,13741200,352735000
129,"Oct 22, 2017",10.69,10.72,10.37,10.46,14194200,360928000
130,"Oct 21, 2017",10.86,11.13,10.54,10.69,13243100,366589000
131,"Oct 20, 2017",10.67,11.05,10.35,10.87,8554240,360068000
132,"Oct 19, 2017",10.09,10.78,10.02,10.65,17482900,340556000
133,"Oct 18, 2017",10.66,10.66,9.23,10.12,14448500,359562000
134,"Oct 17, 2017",11.2,11.22,10.5,10.64,16371000,377697000
135,"Oct 16, 2017",11.63,11.87,10.97,11.18,16241700,392395000
136,"Oct 15, 2017",12.28,12.96,11.3,11.65,19203800,414196000
137,"Oct 14, 2017",10.64,12.29,10.63,12.29,17945200,358673000
138,"Oct 13, 2017",9.82,10.63,9.76,10.58,20057800,330998000
139,"Oct 12, 2017",9.92,10.07,9.56,9.81,17543300,334487000
140,"Oct 11, 2017",9.81,10.76,9.7,9.94,13935400,330579000
141,"Oct 10, 2017",7.56,9.69,7.55,9.64,10726100,254851000
142,"Oct 09, 2017",7.17,7.62,7.17,7.57,11988900,241671000
143,"Oct 08, 2017",7.13,7.36,6.97,7.17,7921110,240372000
144,"Oct 07, 2017",7.07,7.27,6.97,7.14,26670200,238219000
145,"Oct 06, 2017",6.88,7.17,6.56,7.05,21857200,231753000
146,"Oct 05, 2017",6.11,7.33,6.11,6.89,21713900,205974000
147,"Oct 04, 2017",6.09,6.2,5.99,6.12,23328500,205153000
148,"Oct 03, 2017",7.23,7.3,6.03,6.08,22661700,243577000
149,"Oct 02, 2017",7.88,7.92,7.04,7.21,23609600,265350000
150,"Oct 01, 2017",8.38,8.56,7.61,7.9,23910900,281401000
151,"Sep 30, 2017",6.5,8.8,6.43,8.4,24790100,218380000
152,"Sep 29, 2017",6.69,7.85,6.5,6.5,11415400,224822000
153,"Sep 28, 2017",6.15,7.06,5.98,6.69,13321400,206633000
154,"Sep 27, 2017",5.99,6.22,5.6,5.94,5827500,201361000
155,"Sep 26, 2017",6.02,6.81,5.92,6.0,6613300,202114000
156,"Sep 25, 2017",5.15,6.05,5.14,6.02,10613600,173154000
157,"Sep 24, 2017",5.26,5.27,5.07,5.16,2969910,176592000
158,"Sep 23, 2017",4.98,5.27,4.93,5.27,5412700,167187000
159,"Sep 22, 2017",5.03,5.21,4.83,4.96,6049430,168961000
160,"Sep 21, 2017",5.42,5.65,4.99,5.02,6283640,181958000
161,"Sep 20, 2017",5.81,5.82,5.26,5.45,11062000,195256000
162,"Sep 19, 2017",6.53,6.76,5.78,5.82,15557000,219478000
163,"Sep 18, 2017",5.15,6.66,5.15,6.46,16419900,172983000
164,"Sep 17, 2017",5.63,5.67,4.65,5.08,11607000,189102000
165,"Sep 16, 2017",5.93,6.93,5.23,5.57,17010600,199238000
166,"Sep 15, 2017",6.52,7.49,3.77,6.01,19928800,218964000
167,"Sep 14, 2017",11.08,11.26,6.26,6.46,13122700,372242000
168,"Sep 13, 2017",11.36,11.65,10.47,11.19,16480300,381549000
169,"Sep 12, 2017",11.83,13.8,11.01,11.41,18006300,397572000
170,"Sep 11, 2017",11.45,12.4,10.38,11.83,31587100,384568000
171,"Sep 10, 2017",12.34,12.34,10.15,11.42,21907000,414700000
172,"Sep 09, 2017",12.54,14.73,11.0,12.36,26475000,421221000
173,"Sep 08, 2017",19.47,19.47,11.42,12.47,23469000,654199000
174,"Sep 07, 2017",9.82,22.41,9.34,19.4,34848700,329917000
175,"Sep 06, 2017",8.97,10.55,8.24,9.68,13079500,301422000
176,"Sep 05, 2017",9.15,10.96,6.23,9.03,88734200,307385000
177,"Sep 04, 2017",20.77,21.2,8.46,9.03,64300800,697918000
178,"Sep 03, 2017",28.41,29.06,18.84,20.85,60751100,954485000
179,"Sep 02, 2017",32.95,33.02,25.32,28.55,60982700,1107020000
180,"Sep 01, 2017",33.55,36.92,30.31,33.34,56578600,1127400000
181,"Aug 31, 2017",27.64,35.17,27.06,33.58,46054400,928817000
182,"Aug 30, 2017",31.92,32.38,24.7,27.36,33471700,1072670000
183,"Aug 29, 2017",32.54,35.37,28.47,32.48,60918800,1093280000
184,"Aug 28, 2017",40.78,41.54,28.52,32.84,57085600,-
185,"Aug 27, 2017",36.45,43.17,35.72,40.83,72960100,-
186,"Aug 26, 2017",26.34,34.82,26.27,34.76,8036550,-
187,"Aug 25, 2017",27.76,28.23,24.17,26.32,5318770,-
188,"Aug 24, 2017",22.41,29.21,18.88,27.67,12398700,-
189,"Aug 23, 2017",13.91,23.29,12.78,22.37,8823000,-
190,"Aug 22, 2017",15.34,15.57,12.82,13.99,8898470,-
191,"Aug 21, 2017",20.25,20.25,14.16,15.3,11376500,-
192,"Aug 20, 2017",20.38,20.58,18.98,20.37,6789300,-
